Country Code,2010,2011,2012,2013
USA,590194831680.0,592164056160.0,592736305950.0,595887156899.9999
CHN,374578089892.6192,462683071423.04425,586397460513.6003,558179728848.5748
JPN,168380898309.54987,182137654814.88556,182622594292.07657,148123751026.6609
GBR,105253756856.28615,113796931418.10526,117456056925.90666,131107551668.87285
DEU,113345026643.06557,119795421202.0276,110962136195.42409,116327918601.63069
FRA,104232445462.47827,109039486632.59175,101652484674.65245,106274063928.53514
BRA,92794697856.98044,109435712015.78192,102921627156.82759,102967680144.7057
IND,54834025120.427925,62348307529.80398,70729585148.57227,71298129461.54568
ITA,62837973049.862526,64259736124.14133,61707944043.081955,64596495296.49871
RUS,29354635157.518295,38969320954.635605,46072149117.08973,48694543851.58705
