Country Code,2010,2011,2012,2013
USA,14964372000000.0,15517926000000.0,16155255000000.0,16691517000000.0
CHN,6100620356557.316,7572554360442.622,8560546868811.686,9607224248684.592
JPN,5700098114744.41,6157459594823.717,6203213121334.122,5155717056270.827
DEU,3417094562648.9463,3757698281117.5537,3543983909148.007,3752513503278.4097
FRA,2646837111794.776,2862680142625.1445,2681416108537.39,2808511203185.3896
GBR,2429680444512.6074,2608824654243.587,2646002634059.623,2719509472492.696
BRA,2208871646202.8193,2616201578192.2524,2465188674415.032,2472806919901.6743
RUS,1524916112078.8726,2031768558635.8503,2170143623037.6697,2230625004653.5527
ITA,2125058270201.641,2276292459232.7783,2072823111961.1003,2130491269673.4404
IND,1656617073124.711,1823049927772.0461,1827637859136.2344,1856722121394.419
