PrisPop,2010,2011,2012,2013
USA,734.673786407767,720.9240384615384,709.6891719745223,705.1974683544304
CHN,121.32352941176471,120.72857664233577,120.14224637681158,119.27791366906474
JPN,57.01171875,54.680859375,52.35,52.76220472440946
DEU,84.82273838630806,83.50246913580247,81.95149253731344,81.74813895781638
FRA,99.31160572337043,98.84018987341773,98.37322834645668,97.91065830721004
GBR,136.8739903069467,137.30689102564102,137.7329093799682,137.07911392405063
BRA,257.1248704663212,267.75743589743587,278.17411167512694,272.63830845771145
RUS,604.3335664335664,566.3804195804196,528.4272727272727,524.7576388888889
ITA,112.33223140495869,110.28217821782178,107.88341543513957,107.3545751633987
IND,30.495702479338846,30.90709016393443,31.059274193548386,30.810800000000004
